ref	sent.word	text	word	norm	lemma	pos	analysis	gloss
00.01.001	-	Ἐγχειρίδιον	Ἐγχειρίδιον	ἐγχειρίδιον	ἐγχειρίδιον	noun	NPN	handbook
01.01.001	001.01	τῶν	τῶν	τῶν	ὁ	article	GPX	of the
01.01.002	001.02	ὄντων	ὄντων	ὄντων	εἰμί	verb	PAP.GPX	things being
01.01.003	001.03	τὰ	τὰ	τά	ὁ	article	SPN	-
01.01.004	001.04	μέν	μέν	μέν	μέν	particle	-	some
01.01.005	001.05	ἐστιν	ἐστιν	ἐστί(ν)	εἰμί	verb	PAI.3S	are
01.01.006	001.06	ἐφ’	ἐφ’	ἐπί	ἐπί	preposition	-	on
01.01.007	001.07	ἡμῖν,	ἡμῖν	ἡμῖν	ἐγώ	pronoun	DPZ	us
01.01.008	001.08	τὰ	τὰ	τά	ὁ	article	SPN	-
01.01.009	001.09	δὲ	δὲ	δέ	δέ	particle	-	others
01.01.010	001.10	οὐκ	οὐκ	οὐ	οὐ	adverb	-	not
01.01.011	001.11	ἐφ’	ἐφ’	ἐπί	ἐπί	preposition	-	on
01.01.012	001.12	ἡμῖν.	ἡμῖν	ἡμῖν	ἐγώ	pronoun	DPZ	us
01.01.013	002.01	ἐφ’	ἐφ’	ἐπί	ἐπί	preposition	-	on
01.01.014	002.02	ἡμῖν	ἡμῖν	ἡμῖν	ἐγώ	pronoun	DPZ	us
01.01.015	002.03	μὲν	μὲν	μέν	μέν	particle	-	-
01.01.016	002.04	ὑπόληψις,	ὑπόληψις	ὑπόληψις	ὑπόληψις	noun	NSF	opinion
01.01.017	002.05	ὁρμή,	ὁρμή	ὁρμή	ὁρμή	noun	NSF	pursuit
01.01.018	002.06	ὄρεξις,	ὄρεξις	ὄρεξις	ὄρεξις	noun	NSF	desire
01.01.019	002.07	ἔκκλισις	ἔκκλισις	ἔκκλισις	ἔκκλισις	noun	NSF	aversion
01.01.020	002.08	καὶ	καὶ	καί	καί	conjunction	-	and
01.01.021	002.09	ἑνὶ	ἑνὶ	ἑνί	εἷς	adjective	DSY	in one
01.01.022	002.10	λόγῳ	λόγῳ	λόγῳ	λόγος	noun	DSM	word
01.01.023	002.11	ὅσα	ὅσα	ὅσα	ὅσος	adjective	SPN	whatever [are]
01.01.024	002.12	ἡμέτερα	ἡμέτερα	ἡμέτερα	ἡμέτερος	adjective	SPN	our
01.01.025	002.13	ἔργα:	ἔργα	ἔργα	ἔργον	noun	SPN	actions
01.01.026	003.01	οὐκ	οὐκ	οὐ	οὐ	adverb	-	not
01.01.027	003.02	ἐφ’	ἐφ’	ἐπί	ἐπί	preposition	-	on
01.01.028	003.03	ἡμῖν	ἡμῖν	ἡμῖν	ἐγώ	pronoun	DPZ	us
01.01.029	003.04	δὲ	δὲ	δέ	δέ	particle	-	-
01.01.030	003.05	τὸ	τὸ	τό	ὁ	article	SSN	the
01.01.031	003.06	σῶμα,	σῶμα	σῶμα	σῶμα	adjective	SSN	body
01.01.032	003.07	ἡ	ἡ	ἡ	ὁ	article	NSF	-
01.01.033	003.08	κτῆσις,	κτῆσις	κτῆσις	κτῆσις	noun	NSF	property
01.01.034	003.09	δόξαι,	δόξαι	δόξαι	δόξα	noun	NPF	reputation
01.01.035	003.10	ἀρχαὶ	ἀρχαὶ	ἀρχαί	ἀρχή	noun	NPF	command
01.01.036	003.11	καὶ	καὶ	καί	καί	conjunction	-	and
01.01.037	003.12	ἑνὶ	ἑνὶ	ἑνί	εἷς	adjective	DSY	in one
01.01.038	003.13	λόγῳ	λόγῳ	λόγῳ	λόγος	noun	DSM	word
01.01.039	003.14	ὅσα	ὅσα	ὅσα	ὅσος	adjective	SPN	whatever [are]
01.01.040	003.15	οὐχ	οὐχ	οὐ	οὐ	adverb	-	not
01.01.041	003.16	ἡμέτερα	ἡμέτερα	ἡμέτερα	ἡμέτερος	adjective	SPN	our
01.01.042	003.17	ἔργα.	ἔργα	ἔργα	ἔργον	noun	SPN	actions
01.02.001	004.01	καὶ	καὶ	καί	καί	conjunction	-	and
01.02.002	004.02	τὰ	τὰ	τά	ὁ	article	SPN	the things
01.02.003	004.03	μὲν	μὲν	μέν	μέν	particle	-	 -
01.02.004	004.04	ἐφ’	ἐφ’	ἐπί	ἐπί	preposition	-	on
01.02.005	004.05	ἡμῖν	ἡμῖν	ἡμῖν	ἐγώ	pronoun	DPZ	us
01.02.006	004.06	ἐστι	ἐστι	ἐστί(ν)	εἰμί	verb	PAI.3S	are
01.02.007	004.07	φύσει	φύσει	φύσει	φύσις	noun	DSF	by nature
01.02.008	004.08	ἐλεύθερα,	ἐλεύθερα	ἐλεύθερα	ἐλεύθερος	adjective	SPN	free
